Wavelength(nm)	T%
855		0.000137689
854.5		8.01E-05
854		5.05E-05
853.5		6.22E-05
853		0.000182958
852.5		6.04E-05
852		0.000316663
851.5		2.40E-05
851		6.67E-05
850.5		0.000227871
850		-4.62E-05
849.5		-2.12E-05
849		0.000186699
848.5		-3.46E-05
848		0.000101477
847.5		0.000199428
847		1.47E-05
846.5		0.000151629
846		9.98E-05
845.5		-9.40E-06
845		0.000158388
844.5		0.000108667
844		-4.36E-05
843.5		0.000254393
843		2.79E-05
842.5		3.92E-05
842		7.08E-05
841.5		0.000168092
841		6.52E-05
840.5		5.69E-05
840		0.000198514
839.5		8.13E-05
839		-7.12E-05
838.5		0.000199598
838		0.000126989
837.5		0.000107927
837		-0.000108472
836.5		2.29E-05
836		-2.40E-06
835.5		1.39E-05
835		2.60E-05
834.5		0.000202612
834		3.97E-05
833.5		-4.13E-05
833		-1.12E-05
832.5		0.000147387
832		4.61E-05
831.5		0.000111796
831		1.92E-05
830.5		9.26E-05
830		0.000112569
829.5		0.000130916
829		2.41E-05
828.5		4.52E-06
828		0.000153687
827.5		0.00016784
827		0.000142148
826.5		-5.69E-05
826		3.81E-05
825.5		0.000141168
825		0.000356634
824.5		3.54E-05
824		0.00014998
823.5		2.49E-05
823		8.50E-05
822.5		9.52E-05
822		8.17E-05
821.5		6.13E-05
821		0.000184527
820.5		8.08E-05
820		0.000142391
819.5		-1.27E-05
819		0.000110015
818.5		0.000120961
818		8.56E-05
817.5		0.000112244
817		8.03E-05
816.5		0.000108782
816		0.000144629
815.5		-2.34E-05
815		3.49E-05
814.5		6.55E-06
814		6.78E-05
813.5		5.42E-05
813		5.96E-05
812.5		-3.18E-05
812		-7.72E-06
811.5		0.000158204
811		8.93E-05
810.5		-3.60E-05
810		6.92E-05
809.5		-2.21E-05
809		8.36E-05
808.5		0.000112112
808		1.58E-05
807.5		0.000151035
807		0.000156733
806.5		9.64E-05
806		0.000108743
805.5		9.95E-05
805		0.000154276
804.5		3.81E-05
804		0.000120689
803.5		0.000153495
803		0.000128915
802.5		6.43E-05
802		0.000235147
801.5		4.31E-05
