Wavelength(nm)	T%
861.5		0.00010544
861		9.77E-05
860.5		0.000178805
860		3.58E-05
859.5		9.48E-05
859		-9.59E-06
858.5		-3.69E-05
858		0.000132331
857.5		8.84E-05
857		6.83E-05
856.5		-2.64E-05
856		-1.40E-05
855.5		0.000220399
855		5.23E-07
854.5		3.77E-06
854		0.000140831
853.5		1.51E-05
853		0.000123808
852.5		-0.0002097
852		7.37E-05
851.5		2.67E-05
851		0.000131792
850.5		0.000147483
850		0.000154103
849.5		0.00014594
849		8.26E-06
848.5		0.000283846
848		-0.000108109
847.5		2.88E-05
847		-7.77E-06
846.5		-0.000131672
846		8.71E-06
845.5		0.000168801
845		2.59E-05
844.5		0.000285308
844		-5.39E-05
843.5		1.72E-05
843		0.000254325
842.5		-2.94E-05
842		6.15E-05
841.5		0.000150278
841		3.73E-06
840.5		0.000171852
840		0.000101307
839.5		9.90E-05
839		-5.20E-05
838.5		5.21E-05
838		5.63E-05
837.5		6.86E-05
837		2.49E-06
836.5		-0.000162268
836		0.000118629
835.5		1.73E-05
835		-3.46E-05
834.5		-6.71E-05
834		0.000170112
833.5		-6.76E-05
833		2.55E-05
832.5		6.77E-05
832		0.00011646
831.5		9.99E-05
831		-2.14E-05
830.5		3.08E-05
830		7.72E-05
829.5		-4.90E-06
829		6.00E-05
828.5		-0.00012717
828		-5.29E-05
827.5		0.00019142
827		-0.000200398
826.5		5.27E-05
826		0.000164655
825.5		0.000135555
825		3.43E-05
824.5		-1.00E-05
824		3.34E-05
823.5		0.00037032
823		-8.14E-05
822.5		-0.000278557
822		3.24E-05
821.5		-9.70E-06
821		-4.62E-05
820.5		7.99E-05
820		3.26E-05
819.5		0.000164543
819		4.38E-05
818.5		2.23E-05
818		0.000144345
817.5		6.68E-05
817		2.37E-08
816.5		6.62E-07
816		-1.85E-05
815.5		1.16E-05
815		-1.16E-06
814.5		-7.93E-06
814		4.84E-05
813.5		0.00011131
813		-1.21E-05
812.5		-5.35E-05
812		9.13E-05
811.5		6.61E-05
811		-1.35E-05
810.5		-3.52E-05
810		-4.32E-06
809.5		3.61E-05
809		-9.35E-06
808.5		-7.04E-05
808		2.37E-05
807.5		-9.16E-05
807		-1.07E-05
806.5		-1.63E-05
806		5.03E-05
805.5		1.25E-05
805		-2.94E-05
804.5		-1.14E-06
804		6.46E-05
803.5		9.93E-05
803		-8.90E-05
802.5		3.82E-05
802		0.000143098
801.5		0.000369929
801		4.47E-05
800.5		0.000117127
800		1.30E-05
799.5		0.000105239
799		-8.33E-06
798.5		-5.56E-05
798		-4.74E-05
797.5		1.91E-05
797		6.65E-05
796.5		-3.15E-06
796		4.53E-05
795.5		0.000134421
795		3.48E-05
794.5		-1.46E-05
794		-0.000134606
793.5		2.72E-05
793		9.43E-05
792.5		-4.27E-05
792		0.000105765
791.5		1.65E-05
791		3.91E-05
790.5		-0.000123585
790		4.71E-05
789.5		-5.48E-05
789		2.28E-06
788.5		5.96E-06
788		-2.00E-05
787.5		-2.18E-05
787		0.000238001
786.5		0.000125995
786		-5.37E-05
785.5		7.56E-05
785		9.78E-06
784.5		7.50E-05
784		4.81E-05
783.5		-8.20E-05
783		-9.66E-06
782.5		-1.00E-05
782		0.000104293
781.5		5.63E-05
781		8.34E-05
780.5		-4.03E-05
780		2.19E-06
779.5		1.32E-05
779		-4.63E-05
778.5		0.000149296
778		-3.60E-05
777.5		5.45E-05
777		2.26E-05
776.5		4.58E-06
776		-2.16E-05
775.5		-4.94E-05
775		2.49E-05
774.5		0.000155343
774		0.000117783
773.5		2.19E-05
773		-4.91E-05
772.5		1.32E-05
772		-1.13E-05
771.5		9.30E-05
771		0.000117717
770.5		3.19E-05
770		-1.37E-05
769.5		0.000157053
769		-7.14E-05
768.5		7.83E-05
768		-4.44E-06
767.5		-0.000102133
