Wavelength(nm)	T%
695		1.42E-06
694.5		-3.62E-07
694		-1.63E-05
693.5		6.39E-05
693		6.57E-05
692.5		6.38E-05
692		-6.07E-05
691.5		-8.51E-05
691		0.000145404
690.5		8.24E-05
690		-0.000106432
689.5		1.64E-05
689		0.000119973
688.5		0.000124954
688		-1.31E-05
687.5		-4.15E-05
687		0.000185549
686.5		-1.17E-06
686		4.73E-05
685.5		7.08E-06
685		3.86E-05
684.5		-4.02E-05
684		4.22E-05
683.5		-3.61E-05
683		6.55E-05
682.5		6.57E-05
682		-0.000101354
681.5		-1.22E-05
681		9.07E-05
680.5		0.000208263
680		3.00E-05
679.5		-3.45E-05
679		-7.67E-05
678.5		4.84E-05
678		3.67E-05
677.5		-2.19E-05
677		-2.12E-05
676.5		0.000106913
676		-1.22E-05
675.5		-3.99E-07
675		-2.35E-05
674.5		8.02E-05
674		-6.05E-06
673.5		1.70E-05
673		-5.96E-06
672.5		-1.76E-05
672		-5.16E-05
671.5		-7.75E-07
671		-1.94E-05
670.5		1.06E-06
670		-6.62E-05
669.5		-9.39E-07
669		8.79E-06
668.5		5.25E-05
668		0.000156084
667.5		6.31E-05
667		5.29E-05
666.5		2.74E-05
666		-5.13E-05
665.5		3.79E-05
665		6.99E-06
664.5		3.04E-05
664		1.11E-05
663.5		3.14E-05
663		-1.04E-05
662.5		-0.000108424
662		0.000158596
661.5		4.15E-05
661		-7.23E-05
660.5		-4.16E-05
660		-6.12E-05
659.5		-6.31E-05
659		-3.48E-05
658.5		1.92E-05
658		-4.57E-05
657.5		4.06E-05
657		-5.22E-05
656.5		-9.88E-07
656		-6.42E-05
655.5		5.03E-05
655		9.71E-05
654.5		6.74E-05
654		0.000136601
653.5		-2.98E-06
653		-4.15E-06
652.5		4.50E-05
652		3.38E-05
651.5		5.36E-05
651		2.39E-05
650.5		-7.37E-05
650		7.54E-05
649.5		3.66E-05
649		1.53E-05
648.5		8.34E-06
648		3.57E-05
647.5		6.65E-05
647		-1.37E-05
646.5		-0.0001017
646		7.60E-05
645.5		-7.65E-06
645		-6.10E-05
644.5		-1.36E-05
644		-1.88E-05
643.5		3.89E-05
643		6.16E-05
642.5		6.93E-05
642		-1.23E-05
641.5		0.000110852
641		-3.75E-05
640.5		-2.09E-05
640		-7.27E-05
639.5		-5.72E-05
639		5.39E-05
638.5		9.47E-05
638		3.23E-06
637.5		1.97E-05
637		2.78E-05
636.5		-0.000154075
636		2.38E-05
635.5		1.61E-05
635		-4.53E-06
634.5		-5.74E-05
634		-2.32E-05
633.5		2.45E-05
633		2.73E-05
632.5		7.55E-05
632		-1.55E-07
631.5		9.16E-06
631		-0.000113126
630.5		2.98E-05
630		-5.07E-05
629.5		5.31E-05
629		0.000127974
628.5		6.20E-06
628		8.20E-05
627.5		-6.85E-05
627		-1.85E-05
626.5		-8.55E-05
626		9.16E-05
625.5		-8.35E-05
625		9.18E-05
624.5		1.48E-05
624		8.04E-05
623.5		-2.86E-05
623		-5.24E-05
622.5		4.47E-05
622		0.000102385
621.5		1.82E-05
621		-5.20E-05
620.5		8.48E-05
620		7.53E-05
619.5		7.42E-05
619		6.97E-06
618.5		-7.63E-06
618		-3.08E-06
617.5		7.82E-05
617		0.000140986
616.5		4.68E-05
616		4.86E-06
615.5		5.26E-05
615		-4.59E-05
614.5		2.05E-05
614		-6.32E-05
613.5		1.15E-06
613		0.000136443
612.5		4.49E-05
612		-4.84E-05
611.5		-7.27E-06
611		1.05E-05
610.5		1.32E-05
610		-0.000102155
609.5		-2.00E-06
609		-8.22E-06
608.5		4.34E-05
608		-4.03E-06
607.5		4.22E-05
607		5.76E-05
606.5		-5.04E-06
606		8.82E-05
605.5		4.87E-05
605		6.93E-05
604.5		-4.60E-05
604		2.50E-05
603.5		6.15E-05
603		-2.27E-05
602.5		7.22E-05
602		0.000117928
601.5		0.000107582
601		-8.10E-06
600.5		-6.58E-05
600		2.86E-05
599.5		-5.43E-06
599		-7.20E-05
598.5		-5.00E-05
598		2.28E-05
597.5		-2.45E-05
597		-4.35E-05
596.5		9.61E-05
596		0.000116638
595.5		6.49E-05
595		9.79E-05
594.5		-6.77E-05
594		-2.78E-05
593.5		0.000120427
593		5.64E-05
592.5		-3.48E-05
592		5.63E-05
591.5		9.62E-05
591		4.20E-05
590.5		-8.31E-05
590		9.57E-06
589.5		8.79E-05
589		2.63E-05
588.5		5.85E-05
588		0.000142882
587.5		5.13E-05
587		0.000214639
586.5		5.33E-05
586		0.000187791
585.5		3.65E-05
585		1.97E-05
584.5		5.85E-05
584		-8.26E-05
583.5		0.000144291
583		0.000134207
582.5		0.000258358
582		-4.56E-06
581.5		9.72E-05
581		7.20E-05
580.5		0.000107072
580		7.53E-05
579.5		9.32E-05
579		7.57E-05
578.5		9.75E-05
578		0.000108412
577.5		0.000193862
577		3.82E-05
576.5		0.00015535
576		0.000135444
575.5		0.000166315
575		0.000173856
574.5		0.000253312
574		0.000261249
573.5		0.000242157
573		0.000264455
572.5		0.000297671
572		0.000339119
571.5		0.000293086
571		0.000333297
570.5		0.000339788
570		0.000439692
569.5		0.000494665
569		0.000484301
568.5		0.000718424
568		0.000947604
567.5		0.001009117
567		0.00104954
566.5		0.001362097
566		0.001654054
565.5		0.00194589
565		0.002473737
564.5		0.003089285
564		0.003739162
563.5		0.004713484
563		0.005911049
562.5		0.007511931
562		0.009668115
561.5		0.012736939
561		0.016557073
560.5		0.021881022
560		0.029321728
559.5		0.039668135
559		0.054171316
558.5		0.07472834
558		0.10473112
557.5		0.148152918
557		0.211426213
556.5		0.307202011
556		0.45187515
555.5		0.672385991
555		1.02455759
554.5		1.573871136
554		2.425766706
553.5		3.79072237
553		5.92849493
552.5		9.126038551
552		13.86325836
551.5		20.33161736
551		28.44235611
550.5		37.79327393
550		47.83802414
549.5		57.65591431
549		66.37783813
548.5		73.72856903
548		79.3839798
547.5		83.44121552
547		86.32683563
546.5		88.21868896
546		89.32158661
545.5		89.87882996
545		90.06452942
544.5		89.99760437
544		89.84039307
543.5		89.68681335
543		89.6230011
542.5		89.68669891
542		89.89579773
541.5		90.21775055
541		90.62571716
540.5		91.0742569
540		91.52153778
539.5		91.89784241
539		92.17699432
538.5		92.3473587
538		92.39411926
537.5		92.31748962
537		92.14640808
536.5		91.90797424
536		91.63175964
535.5		91.36582184
535		91.15509033
534.5		91.01421356
534		90.97146606
533.5		91.01443481
533		91.21432495
532.5		91.51470947
532		91.89069366
531.5		92.31596375
531		92.77449036
530.5		93.23120117
530		93.66056061
529.5		94.03313446
529		94.333992
528.5		94.54444885
528		94.64788818
527.5		94.6518631
527		94.54524231
526.5		94.36447144
526		94.11712646
525.5		93.83338928
525		93.56085968
524.5		93.2929306
524		93.0566864
523.5		92.87338257
523		92.73891449
522.5		92.66683197
522		92.6648941
521.5		92.72076416
521		92.83999634
520.5		93.00653076
520		93.19930267
519.5		93.41947174
519		93.64584351
518.5		93.84976196
518		94.0394516
517.5		94.17745209
517		94.29273987
516.5		94.37122345
516		94.43104553
515.5		94.43842316
515		94.44739532
514.5		94.40603638
514		94.375
513.5		94.34091187
513		94.31310272
512.5		94.32644653
512		94.36077881
511.5		94.43174744
511		94.53565979
510.5		94.65567017
510		94.80310059
509.5		94.97316742
509		95.13409424
508.5		95.31406403
508		95.48488617
507.5		95.64893341
507		95.77839661
506.5		95.87825775
506		95.9446106
505.5		95.96576691
505		95.96092987
504.5		95.93362427
504		95.88382721
503.5		95.82041168
503		95.76057434
502.5		95.68247986
502		95.60280609
501.5		95.55793762
501		95.52300262
500.5		95.51286316
500		95.54037476
499.5		95.59710693
499		95.66066742
498.5		95.74856567
498		95.83329773
497.5		95.92726898
497		96.02458954
496.5		96.10717773
496		96.17747498
495.5		96.22370911
495		96.23561859
494.5		96.21933746
494		96.16390228
493.5		96.07193756
493		95.96894073
492.5		95.85106659
492		95.72154999
491.5		95.58665466
491		95.45180511
490.5		95.31673431
490		95.19731903
489.5		95.10709381
489		95.04114532
488.5		95.00579834
488		94.98371124
487.5		94.9876709
487		94.98323822
486.5		95.00189972
486		95.0153656
485.5		95.02936554
485		95.02172089
484.5		95.00665283
484		94.95516968
483.5		94.86389923
483		94.73731232
482.5		94.58714294
482		94.40799713
481.5		94.21356201
481		94.00750732
480.5		93.79557037
480		93.57952118
479.5		93.37063599
479		93.18682098
478.5		93.03972626
478		92.94404602
477.5		92.87863922
477		92.87759399
476.5		92.90507507
476		92.98281097
475.5		93.10061646
475		93.2779007
474.5		93.47830963
474		93.71003723
473.5		93.96867371
473		94.21390533
472.5		94.47144318
472		94.7142868
471.5		94.95059967
471		95.1552887
470.5		95.34586334
470		95.49354553
469.5		95.60784149
469		95.67613983
468.5		95.71469116
468		95.72912598
467.5		95.71237183
467		95.65846252
466.5		95.5821991
466		95.48152161
465.5		95.36368561
465		95.22505188
464.5		95.08115387
464		94.93177032
463.5		94.77674103
463		94.6140976
462.5		94.44460297
462		94.29491425
461.5		94.1365509
461		94.01165771
460.5		93.88779449
460		93.79219055
459.5		93.70828247
459		93.66874695
458.5		93.64292908
458		93.65384674
457.5		93.70385742
457		93.77783203
456.5		93.87025452
456		93.98744965
455.5		94.11891937
455		94.27713013
454.5		94.4352417
454		94.59747314
453.5		94.74147034
453		94.86128998
452.5		94.97888947
452		95.06255341
451.5		95.11934662
451		95.15858459
450.5		95.1651001
450		95.13330078
449.5		95.0943222
449		95.03649139
448.5		94.96543884
448		94.89466858
447.5		94.81807709
447		94.75009155
446.5		94.68423462
446		94.63352203
445.5		94.58696747
445		94.56045532
444.5		94.52310181
444		94.49325562
443.5		94.44467163
443		94.39890289
442.5		94.33345795
442		94.25650024
441.5		94.14133453
441		94.0042038
440.5		93.83815765
440		93.65048981
439.5		93.45319366
439		93.23716736
438.5		93.00909424
438		92.78271484
437.5		92.57516479
437		92.38101196
436.5		92.204422
436		92.06238556
435.5		91.93756104
435		91.84294891
434.5		91.77925873
434		91.71806335
433.5		91.70224762
433		91.68443298
432.5		91.67927551
432		91.67737579
431.5		91.67282104
431		91.67740631
430.5		91.70199585
430		91.73002625
429.5		91.77529144
429		91.84268188
428.5		91.93710327
428		92.07502747
427.5		92.26191711
427		92.46932983
426.5		92.70383453
426		92.97924042
425.5		93.25289917
425		93.52623749
424.5		93.77341461
424		93.97851563
423.5		94.12597656
423		94.19846344
422.5		94.19668579
422		94.09894562
421.5		93.94031525
421		93.70494843
420.5		93.44015503
420		93.18278503
419.5		92.88726807
419		92.67514801
418.5		92.52947998
418		92.42345428
417.5		92.39067841
417		92.42047882
416.5		92.48509216
416		92.57173157
415.5		92.64041901
415		92.67311096
414.5		92.6063385
414		92.50714111
413.5		92.27759552
413		91.95435333
412.5		91.54611969
412		91.10839081
411.5		90.63030243
411		90.18482208
410.5		89.79762268
410		89.50200653
409.5		89.32093811
409		89.24435425
408.5		89.28145599
408		89.38782501
407.5		89.52669525
407		89.66452789
406.5		89.76635742
406		89.76542664
405.5		89.65757751
405		89.46128845
404.5		89.16107178
404		88.81633759
403.5		88.4766922
403		88.18652344
402.5		87.97540283
402		87.87637329
401.5		87.86042023
401		87.90494537
400.5		87.90750885
400		87.78417969
399.5		87.33997345
399		86.41153717
398.5		84.59287262
398		81.36289215
