Wavelength(nm)	T%
864.5		92.70319366
864		92.59433746
863.5		92.44909668
863		92.3522644
862.5		92.24097443
862		92.12117767
861.5		91.97193909
861		91.9276886
860.5		91.81782532
860		91.73928833
859.5		91.65743256
859		91.57978821
858.5		91.52330017
858		91.48993683
857.5		91.44908142
857		91.46815491
856.5		91.48558807
856		91.57391357
855.5		91.65261078
855		91.78929138
854.5		91.99005127
854		92.27772522
853.5		92.51834106
853		92.8565979
852.5		93.22360229
852		93.63023376
851.5		94.08647156
851		94.4883194
850.5		94.89245605
850		95.11668396
849.5		95.2396698
849		94.99390411
848.5		94.35639191
848		93.06510162
847.5		91.09215546
847		88.28031158
846.5		84.42615509
846		79.5342865
845.5		73.82624054
845		67.15796661
844.5		60.03289795
844		52.74017334
843.5		45.55597687
843		38.73098373
842.5		32.46786118
842		26.92134094
841.5		22.09648705
841		18.02745628
840.5		14.69547176
840		11.89564514
839.5		9.626349449
839		7.813091755
838.5		6.322276592
838		5.125144005
837.5		4.166537762
837		3.398953438
836.5		2.77716279
836		2.272056103
835.5		1.867283344
835		1.534148455
834.5		1.264535189
834		1.0494591
833.5		0.870053351
833		0.724810898
832.5		0.604243696
832		0.505166829
831.5		0.423471719
831		0.35582605
830.5		0.299412906
830		0.252482563
829.5		0.213049054
829		0.180781812
828.5		0.153619155
828		0.130557448
827.5		0.111661516
827		0.095717117
826.5		0.08122772
826		0.06963034
825.5		0.059644099
825		0.051622763
824.5		0.044105954
824		0.038208108
823.5		0.033213098
823		0.028690446
822.5		0.024733428
822		0.021551726
821.5		0.01867976
821		0.016192272
820.5		0.014181502
820		0.012482902
819.5		0.010961267
819		0.009639164
818.5		0.008240433
818		0.007260882
817.5		0.006386068
817		0.005668878
816.5		0.004987549
816		0.004386267
815.5		0.003891826
815		0.003525192
814.5		0.003141013
814		0.002738571
813.5		0.002553808
813		0.00211731
812.5		0.00190244
812		0.001715211
811.5		0.001390055
811		0.001259174
810.5		0.001164467
810		0.001014495
809.5		0.000951902
809		0.000786816
808.5		0.000840341
808		0.000731619
807.5		0.000665117
807		0.00053992
806.5		0.000583386
806		0.000454669
805.5		0.000427424
805		0.000473016
804.5		0.000335266
804		0.000287477
803.5		0.000268319
803		0.000318958
802.5		0.000266148
802		0.000248099
801.5		0.000307694
801		0.000121992
800.5		0.000231554
800		8.73E-05
799.5		0.000189915
799		0.000179201
798.5		6.78E-05
798		8.37E-05
797.5		0.000140074
797		8.59E-05
796.5		0.000102163
796		-3.94E-05
795.5		0.000176672
795		-2.76E-05
794.5		6.12E-05
794		0.000158229
793.5		0.000122249
793		9.45E-05
792.5		0.00010912
792		3.77E-05
791.5		7.04E-05
791		7.45E-05
790.5		8.37E-05
790		3.64E-06
789.5		-3.71E-05
789		2.30E-05
788.5		3.88E-05
788		5.49E-06
787.5		4.78E-05
787		-3.50E-05
786.5		-2.06E-05
786		-1.32E-05
785.5		9.39E-05
785		-0.000111617
784.5		0.000110484
784		6.68E-05
783.5		-1.91E-05
783		3.23E-05
782.5		0.000191991
782		5.98E-05
781.5		-3.64E-05
781		1.96E-05
780.5		9.11E-05
780		-2.19E-05
779.5		3.86E-05
779		-5.88E-06
778.5		0.000178622
778		-2.28E-05
777.5		2.58E-05
777		2.90E-05
776.5		1.54E-05
776		-1.22E-05
775.5		-3.98E-05
775		9.16E-05
774.5		3.21E-05
774		5.03E-05
773.5		-4.14E-05
773		0.000115069
772.5		2.80E-05
772		-3.12E-05
771.5		2.55E-05
771		-8.49E-05
770.5		9.08E-05
770		-3.15E-06
769.5		-5.04E-05
769		8.99E-05
768.5		1.42E-05
768		-1.39E-05
767.5		-0.000102526
767		4.42E-05
766.5		2.10E-05
766		5.64E-05
765.5		-2.91E-05
765		3.83E-05
764.5		-4.27E-05
764		4.88E-05
763.5		5.09E-05
763		5.60E-05
762.5		0.000161057
762		1.40E-05
761.5		-3.30E-05
761		-3.16E-05
760.5		1.34E-05
760		4.25E-05
759.5		-1.81E-05
759		9.24E-05
758.5		6.15E-05
758		6.15E-05
757.5		-1.53E-05
